iter	RMSE
0	0.6658390756
1	0.6463866624
2	0.6279578471
3	0.6107555344
4	0.5976788884
5	0.5807891112
6	0.5661879173
7	0.5505133886
8	0.5355042766
9	0.5226798441
10	0.5072553455
11	0.4950542351
12	0.483504948
13	0.4728366408
14	0.4615891098
15	0.4511350549
16	0.4410712481
17	0.4303288092
18	0.4195858739
19	0.4103750501
20	0.401681612
21	0.3927502939
22	0.3851994176
23	0.3775372238
24	0.3706292536
25	0.3636796196
26	0.3570696739
27	0.3494823695
28	0.3419431522
29	0.3357741971
30	0.329801828
31	0.3228404135
32	0.3178349948
33	0.312172796
34	0.3075408791
35	0.3035847832
36	0.2994011175
37	0.2939928913
38	0.2892481074
39	0.2846922528
40	0.280307211
41	0.2757808383
42	0.2716710493
43	0.2676502758
44	0.2634734606
45	0.259914821
46	0.2558832351
47	0.2520998803
48	0.2487855111
49	0.2452514807
50	0.2419505449
51	0.2389218751
52	0.2365103152
53	0.2337756943
54	0.2310096648
55	0.2281490679
56	0.2253953015
57	0.2228178915
58	0.2204264194
59	0.2176489531
60	0.2151705306
61	0.2128574876
62	0.210221624
63	0.2077239412
64	0.2052395153
65	0.2030503463
66	0.2011682284
67	0.1988977471
68	0.196715742
69	0.19479829
70	0.1931584613
71	0.1912535183
72	0.1896685309
73	0.1877808435
74	0.1858546803
75	0.1848579946
76	0.1829245847
77	0.1816793931
78	0.1803237388
79	0.1786809723
80	0.1772592435
81	0.1761201447
82	0.1747827515
83	0.1734591831
84	0.1723223978
85	0.17079506
86	0.1695454342
87	0.1679002173
88	0.1669663976
89	0.1657402396
90	0.1646890651
91	0.1632300111
92	0.1619919353
93	0.1607430399
94	0.1596780039
95	0.1585984842
96	0.1573016595
97	0.1560283298
98	0.1548618869
99	0.1536759618
100	0.1526743971
101	0.1516053806
102	0.1505622118
103	0.1496099241
104	0.1486969445
105	0.147844499
106	0.1467848781
107	0.1459279503
108	0.1452648416
109	0.1444505245
110	0.1435722325
111	0.142947624
112	0.1419763453
113	0.1413579073
114	0.1405824361
115	0.1398667816
116	0.138910127
117	0.138120399
118	0.1372775629
119	0.1365210779
120	0.1357017641
121	0.1350003874
122	0.1342113704
123	0.1336266608
124	0.1332321457
125	0.1324214211
126	0.1315191562
127	0.1309196123
128	0.130332514
129	0.1296647459
130	0.128998483
131	0.128393441
132	0.127679104
133	0.1270005138
134	0.1263831579
135	0.1257918342
136	0.125130242
137	0.1246305547
138	0.1240701749
139	0.123417915
140	0.1228778658
141	0.122398895
142	0.1218435633
143	0.1212730807
144	0.120661232
145	0.120098148
146	0.1196363903
147	0.119051594
148	0.1184645297
149	0.1179979207
150	0.1175133604
151	0.1170622134
152	0.1165803406
153	0.1161113736
154	0.1156700868
155	0.1152032905
156	0.1147555835
157	0.1143169786
158	0.1137995942
159	0.1133278477
160	0.1128792332
161	0.1124355377
162	0.1120254749
163	0.1115852194
164	0.1111236313
165	0.1107040356
166	0.1103669461
167	0.1101248649
168	0.1096879147
169	0.1093028919
170	0.1089060195
171	0.1085321965
172	0.1082182388
173	0.1078373958
174	0.1075047982
175	0.1071276563
176	0.1069565158
177	0.1067160591
178	0.1064522341
179	0.1061629296
180	0.1059029496
181	0.1056463639
182	0.1054660002
183	0.1051920459
184	0.1049132528
185	0.1045483152
186	0.1042413008
187	0.1040848227
188	0.1037256307
189	0.1033487416
190	0.1031151953
191	0.1029115491
192	0.1027426885
193	0.1024002013
194	0.1021221944
195	0.101867746
196	0.1015450042
197	0.1013252194
198	0.1010153097
199	0.1008041675
