iter	Passed	Remaining
0	28	5766
1	36	3605
2	44	2953
3	52	2582
4	58	2273
5	65	2105
6	70	1937
7	74	1797
8	81	1720
9	85	1628
10	89	1542
11	93	1470
12	99	1433
13	103	1379
14	108	1342
15	117	1353
16	122	1314
17	129	1312
18	140	1335
19	147	1330
20	154	1318
21	163	1322
22	168	1295
23	184	1354
24	190	1333
25	198	1327
26	203	1303
27	207	1275
28	222	1312
29	236	1341
30	247	1349
31	254	1333
32	265	1341
33	270	1321
34	277	1310
35	282	1286
36	286	1263
37	294	1253
38	298	1231
39	302	1209
40	313	1217
41	320	1206
42	337	1232
43	350	1242
44	358	1235
45	363	1217
46	368	1199
47	374	1186
48	379	1169
49	387	1162
50	393	1149
51	397	1132
52	404	1123
53	410	1109
54	414	1093
55	421	1083
56	425	1068
57	430	1053
58	437	1045
59	442	1031
60	447	1020
61	457	1017
62	470	1022
63	475	1009
64	499	1037
65	507	1030
66	518	1029
67	524	1018
68	536	1017
69	542	1006
70	553	1006
71	561	998
72	569	990
73	575	979
74	585	975
75	591	965
76	601	961
77	619	968
78	630	965
79	636	954
80	646	949
81	652	939
82	662	933
83	669	924
84	680	920
85	685	908
86	694	901
87	699	890
88	704	878
89	714	873
90	718	860
91	727	853
92	734	844
93	748	843
94	764	844
95	775	840
96	784	833
97	800	833
98	825	842
99	833	833
100	844	828
101	881	847
102	892	840
103	896	827
104	906	820
105	915	811
106	926	805
107	930	792
108	938	783
109	944	772
110	949	761
111	968	761
112	976	752
113	984	742
114	990	731
115	994	720
116	1001	710
117	1007	699
118	1015	691
119	1023	682
120	1037	677
121	1043	667
122	1066	667
123	1080	662
124	1087	652
125	1092	641
126	1101	632
127	1106	622
128	1136	625
129	1151	619
130	1160	611
131	1169	602
132	1179	594
133	1187	585
134	1201	578
135	1211	570
136	1223	562
137	1244	558
138	1252	549
139	1262	541
140	1269	531
141	1306	533
142	1338	533
143	1365	531
144	1371	520
145	1381	510
146	1391	501
147	1396	490
148	1402	480
149	1409	469
150	1413	458
151	1418	447
152	1424	437
153	1433	428
154	1460	423
155	1464	413
156	1470	402
157	1475	392
158	1479	381
159	1486	371
160	1491	361
161	1495	350
162	1500	340
163	1506	330
164	1511	320
165	1516	310
166	1522	300
167	1528	291
168	1534	281
169	1540	271
170	1544	262
171	1552	252
172	1559	243
173	1574	235
174	1586	226
175	1610	219
176	1623	210
177	1641	202
178	1659	194
179	1675	186
180	1691	177
181	1719	170
182	1723	160
183	1734	150
184	1739	141
185	1778	133
186	1790	124
187	1814	115
188	1822	106
189	1832	96
190	1836	86
191	1846	76
192	1852	67
193	1856	57
194	1863	47
195	1869	38
196	1878	28
197	1883	19
198	1887	9
199	1895	0
