,close,returns,volatility_21d,volatility_regime,price_vs_ma_50,price_vs_ma_200,momentum_10,momentum_20,market_phase
2020-07-19,90.00509159071763,-0.018068065609383455,0.20697731711372128,Medium,-2.66084572502453,-5.2842020028878505,-3.8244988469584573,-2.328506235310346,Bear
2020-07-20,89.088648184231,-0.010182128480619612,0.20724841543721936,Medium,-3.601764474768332,-6.185131524370191,-5.467726307188981,-3.285143334684759,Bear
2020-07-21,89.86244591567551,0.008685705162394308,0.21023869168650675,Medium,-2.7621346328541407,-5.304954879158674,-3.553784960667683,-3.550947274069327,Bear
2020-07-22,91.80536001119363,0.021620979439412213,0.22057243168181845,Medium,-0.6893917357202128,-3.1992036878133567,1.0338981115199486,-3.217129995761636,Bear
2020-07-23,92.71267951403294,0.009883077662662387,0.2135166302300406,Medium,0.2785319840712619,-2.197652613360046,3.2636965507571114,-2.4903211758717902,Bear
2020-07-24,92.62763512775582,-0.0009172897032303506,0.21316886646147296,Medium,0.19907543647210701,-2.2481625360091906,2.6303895215540773,-1.682532496677569,Bear
2020-07-25,91.7036968700963,-0.009974758141943263,0.21358853966766247,Medium,-0.740049878141491,-3.170228980955847,0.34567231747517635,-0.9620708545730605,Bear
2020-07-26,90.1285125999268,-0.017176889524975647,0.21358862500436343,Medium,-2.371365805948078,-4.761686765494588,-3.0291634454053473,-1.4027613983396359,Bear
2020-07-27,89.21021820135809,-0.010188722437315056,0.21199808164119027,Medium,-3.3243683281483416,-5.650076502583145,-4.367205948436148,-2.3806470852707817,Bear
2020-07-28,91.26088739171404,0.022986931673312894,0.22782745541552157,Medium,-1.1208221714765432,-3.4028046345335294,-0.43676629068413186,-1.0950298474383113,Bear
2020-07-29,93.01986090424671,0.019274122384792758,0.23524467214298594,High,0.723870239988833,-1.477366257127255,3.3495541865989242,-0.6030483216042493,Bear
2020-07-30,95.04142096209354,0.02173256375783872,0.24210265009163726,High,2.847463145454987,0.7070765870023754,6.681853299145923,0.8487815413117605,Sideways
2020-07-31,95.80798632248474,0.008065592376790498,0.24246425920624387,High,3.6401699981527535,1.5547894014204422,6.616268171009243,2.8273552671227886,Correction
2020-08-01,94.97017091667355,-0.008744734525482523,0.24098170541049466,High,2.7143110944144455,0.6994664393847216,3.447305152002067,4.516844886386884,Bull
2020-08-02,93.02399243224201,-0.020492523764531367,0.23561207616036556,High,0.6175747389735031,-1.3216039641640753,0.3357824623782424,3.6104379337780435,Recovery
2020-08-03,92.24702044037232,-0.00835238277303163,0.23341586719270632,Medium,-0.23273489806880931,-2.093708259565752,-0.41090835025480166,2.208672681110979,Bull
2020-08-04,92.19736343295266,-0.0005383047298721522,0.23307224629296713,Medium,-0.3118690393653978,-2.096552491453596,0.5383278752171483,0.8858610431342173,Bull
