date,cash,position_value,total_value,daily_return,shares_held,year,month
2022-07-20,100000.0,0.0,100000.0,0.0,0,2022,7
2022-07-21,97149.56497296673,2846.1657783657174,99995.73075133245,-4.269248667554404e-05,13,2022,7
2022-07-22,97149.56497296673,2837.9238204922126,99987.48879345895,-8.242309758199617e-05,13,2022,7
2022-07-23,97149.56497296673,2950.762698234297,100100.32767120103,0.0011285299701362383,13,2022,7
2022-07-24,97149.56497296673,2881.251201466097,100030.81617443284,-0.0006944182739991867,13,2022,7
2022-07-25,97149.56497296673,2888.9485581719787,100038.51353113871,7.694985405759525e-05,13,2022,7
2022-07-26,97149.56497296673,2928.019189066377,100077.5841620331,0.00039055589207870334,13,2022,7
2022-07-27,100118.00732266103,0.0,100118.00732266103,0.00040391822970531344,0,2022,7
2022-07-28,100118.00732266103,0.0,100118.00732266103,0.0,0,2022,7
2022-07-29,100118.00732266103,0.0,100118.00732266103,0.0,0,2022,7
2022-07-30,100118.00732266103,0.0,100118.00732266103,0.0,0,2022,7
2022-07-31,99063.29223761996,1053.1353819681176,100116.42761958808,-1.577841104904998e-05,4,2022,7
2022-08-01,99063.29223761996,1072.3112574311328,100135.6034950511,0.0001915357541109053,4,2022,8
2022-08-02,99063.29223761996,1095.4370653010944,100158.72930292106,0.00023094490933095457,4,2022,8
2022-08-03,99063.29223761996,1088.119459140334,100151.41169676029,-7.3060093830013e-05,4,2022,8
2022-08-04,99063.29223761996,1126.1877351409996,100189.47997276095,0.0003801072331952593,4,2022,8
2022-08-05,99063.29223761996,1099.8490417100857,100163.14127933004,-0.0002628888126584572,4,2022,8
2022-08-06,99063.29223761996,1127.1538381678522,100190.44607578781,0.000272603236170621,4,2022,8
2022-08-07,99063.29223761996,1117.4509102155134,100180.74314783547,-9.68448423216417e-05,4,2022,8
2022-08-08,99063.29223761996,1093.110130295948,100156.4023679159,-0.00024296865000938972,4,2022,8
2022-08-09,99063.29223761996,1135.6148516471965,100198.90708926716,0.000424383467720002,4,2022,8
2022-08-10,99063.29223761996,1089.0852252906516,100152.3774629106,-0.0004643725935563614,4,2022,8
2022-08-11,99063.29223761996,1115.4742610932983,100178.76649871326,0.0002634888603860741,4,2022,8
2022-08-12,99063.29223761996,1074.8203135074345,100138.11255112739,-0.00040581401635042536,4,2022,8
2022-08-13,99063.29223761996,1058.816405868546,100122.10864348851,-0.00015981834719225319,4,2022,8
2022-08-14,99063.29223761996,1045.0417950956512,100108.3340327156,-0.0001375781129615561,4,2022,8
